,,,"Saskatchewan [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","        Kartvelian languages",,       0,,       0,,       0,,    1040,,     565,,     475,
"Language spoken most often at home","          Georgian",,       0,,       0,,       0,,    1035,,     565,,     475,
"Language spoken most often at home","        Korean",,    1180,,     590,,     595,,  109705,,   51385,,   58320,
"Language spoken most often at home","        Mongolic languages",,      25,,      10,,      10,,     910,,     440,,     470,
"Language spoken most often at home","          Mongolian",,      25,,      10,,      10,,     910,,     435,,     470,
"Language spoken most often at home","        Niger-Congo languages",,     735,,     350,,     380,,   28665,,   13340,,   15320,
"Language spoken most often at home","          Akan (Twi)",,      55,,      30,,      25,,    5990,,    2695,,    3295,
"Language spoken most often at home","          Bamanankan",,       0,,       0,,       0,,     340,,     180,,     160,
"Language spoken most often at home","          Edo",,      10,,       0,,       5,,     415,,     175,,     240,
"Language spoken most often at home","          Ewe",,       5,,       5,,       5,,     410,,     185,,     225,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,      20,,      10,,      10,,     825,,     400,,     425,
"Language spoken most often at home","          Ga",,       0,,       0,,       0,,     250,,     105,,     140,
"Language spoken most often at home","          Ganda",,      10,,       5,,       5,,     345,,     160,,     185,
"Language spoken most often at home","          Igbo",,      40,,      15,,      20,,    1000,,     485,,     510,
"Language spoken most often at home","          Lingala",,      15,,      10,,      10,,    1045,,     455,,     590,
"Language spoken most often at home","          Rundi (Kirundi)",,      85,,      45,,      40,,    2110,,     990,,    1115,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,      35,,      15,,      25,,    1530,,     670,,     865,
"Language spoken most often at home","          Shona",,      35,,      25,,      15,,    1035,,     475,,     560,
"Language spoken most often at home","          Swahili",,     200,,      90,,     110,,    5370,,    2500,,    2870,
"Language spoken most often at home","          Wolof",,       0,,       5,,       0,,    1380,,     745,,     635,
"Language spoken most often at home","          Yoruba",,     115,,      55,,      55,,    2615,,    1275,,    1340,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,     100,,      45,,      55,,    4010,,    1850,,    2160,
"Language spoken most often at home","        Nilo-Saharan languages",,     135,,      65,,      70,,    2650,,    1305,,    1350,
"Language spoken most often at home","          Dinka",,      65,,      30,,      30,,    1130,,     580,,     550,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,      70,,      35,,      40,,    1525,,     730,,     800,
"Language spoken most often at home","        Sign languages",,     285,,     175,,     105,,   10445,,    5870,,    4570,
"Language spoken most often at home","          American Sign Language",,      50,,      30,,      20,,    3015,,    1560,,    1460,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,     730,,     375,,     355,
"Language spoken most often at home","          Sign languages; n.i.e",,     230,,     150,,      85,,    6690,,    3935,,    2755,
"Language spoken most often at home","        Sino-Tibetan languages",,    9700,,    4835,,    4865,,  924720,,  433530,,  491190,
"Language spoken most often at home","          Chinese languages",,    8925,,    4450,,    4475,,  913365,,  427860,,  485505,
"Language spoken most often at home","            Cantonese",,    2400,,    1140,,    1265,,  400215,,  184340,,  215885,
"Language spoken most often at home","            Hakka",,       5,,       0,,       0,,    4080,,    1820,,    2265,
"Language spoken most often at home","            Mandarin",,    5645,,    2865,,    2780,,  462890,,  220075,,  242815,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,     345,,     150,,     195,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      80,,      45,,      35,,   13965,,    6345,,    7625,
"Language spoken most often at home","            Wu (Shanghainese)",,      30,,      15,,      15,,    7650,,    3580,,    4075,
"Language spoken most often at home","            Chinese; n.o.s.",,     760,,     385,,     380,,   23935,,   11440,,   12500,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       5,,     280,,     130,,     150,
"Language spoken most often at home","          Tibeto-Burman languages",,     775,,     380,,     395,,   11350,,    5670,,    5680,
"Language spoken most often at home","            Burmese",,     115,,      65,,      55,,    2245,,    1115,,    1125,
"Language spoken most often at home","            Karenic languages",,     640,,     310,,     335,,    3865,,    1935,,    1930,
"Language spoken most often at home","            Tibetan",,      10,,       0,,       5,,    4590,,    2305,,    2280,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       5,,       5,,       5,,     655,,     305,,     345,
"Language spoken most often at home","        Tai-Kadai languages",,     190,,      85,,     105,,    9565,,    4455,,    5110,
"Language spoken most often at home","          Lao",,     125,,      60,,      60,,    6175,,    2995,,    3180,
"Language spoken most often at home","          Thai",,      70,,      25,,      45,,    3360,,    1450,,    1915,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Language spoken most often at home","        Turkic languages",,     195,,     100,,      95,,   22250,,   11205,,   11045,
"Language spoken most often at home","          Azerbaijani",,       5,,       5,,       5,,    1245,,     640,,     610,
"Language spoken most often at home","          Turkish",,     170,,      90,,      85,,   18955,,    9525,,    9430,
"Language spoken most often at home","          Uyghur",,       0,,       0,,       0,,     610,,     315,,     290,
"Language spoken most often at home","          Uzbek",,      10,,       5,,      10,,     990,,     505,,     490,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       5,,       0,,       5,,     455,,     230,,     225,
"Language spoken most often at home","        Uralic languages",,     240,,     125,,     120,,   23245,,   10715,,   12535,
"Language spoken most often at home","          Estonian",,      10,,       0,,       5,,     975,,     365,,     610,
"Language spoken most often at home","          Finnish",,      15,,      10,,       5,,    2790,,    1220,,    1565,
"Language spoken most often at home","          Hungarian",,     215,,     110,,     105,,   19485,,    9125,,   10355,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,      45,,      25,,      20,,    1110,,     605,,     500,
"Language spoken most often at home","  Multiple responses",,   34110,,   16720,,   17395,, 1663390,,  802695,,  860690,
"Language spoken most often at home","    English and French",,    1210,,     575,,     635,,  160185,,   77940,,   82235,
"Language spoken most often at home","    English and non-official language",,   32250,,   15810,,   16435,, 1284975,,  620375,,  664600,
"Language spoken most often at home","    French and non-official language",,     150,,      85,,      70,,  148915,,   70915,,   78000,
"Language spoken most often at home","    English; French and non-official language",,     495,,     250,,     250,,   69315,,   33465,,   35850,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20, 1083235,,  539100,,  544130,,34767255,,17101165,,17666080,
"Other language spoken regularly at home","  None",,  983935,,  490490,,  493450,,29615245,,14612175,,15003065,
"Other language spoken regularly at home","  English",,   41920,,   21045,,   20875,, 2109340,, 1045215,, 1064120,
"Other language spoken regularly at home","  French",,    9340,,    4085,,    5255,,  731095,,  342245,,  388855,
"Other language spoken regularly at home","  Non-official language",,   46495,,   22705,,   23785,, 2151690,, 1023940,, 1127750,
"Other language spoken regularly at home","    Aboriginal",,   13490,,    6445,,    7050,,   90740,,   42890,,   47850,
"Other language spoken regularly at home","    Non-Aboriginal",,   33005,,   16265,,   16740,, 2060945,,  981055,, 1079895,
"Other language spoken regularly at home","  English and French",,     170,,      85,,      85,,   47970,,   23785,,   24190,
"Other language spoken regularly at home","  English and non-official language",,     860,,     440,,     420,,   61075,,   30045,,   31030,
"Other language spoken regularly at home","  French and non-official language",,     495,,     245,,     255,,   48755,,   22690,,   26065,
"Other language spoken regularly at home","  English; French and non-official language",,      20,,       5,,      10,,    2080,,    1075,,    1010,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,  857270,,  424245,,  433025,,28642980,,13990620,,14652355,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,  822620,,  407715,,  414905,,27488530,,13444335,,14044190,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   38299,,   46117,,   31978,,   34204,,   40782,,   28860,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,  822745,,  407730,,  415015,,27499185,,13449010,,14050175,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   34570,,   40492,,   29564,,   30866,,   35933,,   26621,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,  750515,,  378290,,  372225,,24583315,,12296595,,12286725,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   36883,,   45587,,   29314,,   32762,,   39925,,   26613,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,  550165,,  236760,,  313405,,19743240,, 8755815,,10987430,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    5340,,    4200,,    5870,,    5453,,    4199,,    6136,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,  636955,,  331975,,  304970,,20428685,,10547760,, 9880925,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   36612,,   44551,,   30027,,   33684,,   39836,,   28474,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,  857300,,  424265,,  433030,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,  822545,,  407840,,  414705,,27489395,,13441555,,14047845,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   49409,,   58791,,   40184,,   47487,,   56740,,   38632,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,  822655,,  407855,,  414800,,27500230,,13446230,,14053995,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   40933,,   47453,,   34523,,   38977,,   45404,,   32828,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,  750475,,  378445,,  372035,,24584065,,12295015,,12289055,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   48491,,   58779,,   38026,,   46885,,   56803,,   36962,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,  549500,,  236590,,  312910,,19742130,, 8752070,,10990060,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7734,,    7322,,    8045,,    7738,,    7345,,    8050,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,  636950,,  331745,,  305205,,20428670,,10542540,, 9886130,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   46853,,   55728,,   37207,,   46057,,   54369,,   37193,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,  857295,,  424260,,  433030,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,  302780,,  173250,,  129525,, 9367045,, 5231015,, 4136035,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   55368,,   62070,,   48579,,   53431,,   59326,,   47420,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   64855,,   72366,,   54808,,   65997,,   74289,,   55510,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     89.5,,     92.8,,     84.8,,     88.3,,     91.6,,     83.7,
"Income of individuals in 2015","    Employment income (%)",29,     73.2,,     76.8,,     68.0,,     72.0,,     75.2,,     67.7,
"Income of individuals in 2015","  Government transfers (%)",30,     10.5,,      7.2,,     15.2,,     11.7,,      8.4,,     16.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,  857270,,  424245,,  433025,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without total income",,   34645,,   16530,,   18120,, 1154450,,  546285,,  608165,
"Income of individuals in 2015","  With total income",,  822620,,  407715,,  414905,,27488530,,13444335,,14044195,
"Income of individuals in 2015","  Percentage with total income",,     96.0,,     96.1,,     95.8,,     96.0,,     96.1,,     95.8,
"Income of individuals in 2015","    Under $10;000 (including loss)",,  105780,,   47325,,   58455,, 3877620,, 1668960,, 2208655,
"Income of individuals in 2015","    $10;000 to $19;999",,  118380,,   46195,,   72180,, 4680380,, 1867600,, 2812785,
"Income of individuals in 2015","    $20;000 to $29;999",,  107890,,   42345,,   65545,, 3807840,, 1593335,, 2214505,
"Income of individuals in 2015","    $30;000 to $39;999",,   95605,,   41315,,   54295,, 3206175,, 1472670,, 1733510,
"Income of individuals in 2015","    $40;000 to $49;999",,   89285,,   42260,,   47025,, 2827045,, 1376565,, 1450480,
"Income of individuals in 2015","    $50;000 to $59;999",,   70395,,   36950,,   33450,, 2179775,, 1145685,, 1034090,
"Income of individuals in 2015","    $60;000 to $69;999",,   53855,,   31055,,   22795,, 1655070,,  938755,,  716310,
"Income of individuals in 2015","    $70;000 to $79;999",,   41930,,   25290,,   16645,, 1271850,,  745830,,  526015,
"Income of individuals in 2015","    $80;000 to $89;999",,   34305,,   20750,,   13560,,  966885,,  579290,,  387590,
"Income of individuals in 2015","    $90;000 to $99;999",,   26165,,   16100,,   10060,,  749290,,  452240,,  297050,
"Income of individuals in 2015","    $100;000 and over",,   79030,,   58125,,   20905,, 2266600,, 1603400,,  663195,
"Income of individuals in 2015","      $100;000 to $149;999",,   56160,,   40025,,   16140,, 1493570,, 1024210,,  469365,
"Income of individuals in 2015","      $150;000 and over",,   22870,,   18100,,    4770,,  773025,,  579190,,  193830,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,  857270,,  424245,,  433025,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without after-tax income",,   34520,,   16515,,   18010,, 1143795,,  541620,,  602175,
"Income of individuals in 2015","  With after-tax income",,  822745,,  407730,,  415015,,27499185,,13449010,,14050175,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.0,,     96.1,,     95.8,,     96.0,,     96.1,,     95.9,
"Income of individuals in 2015","    Under $10;000 (including loss)",,  108310,,   48150,,   60160,, 4004475,, 1706825,, 2297645,
"Income of individuals in 2015","    $10;000 to $19;999",,  123690,,   48420,,   75275,, 4905055,, 1972920,, 2932130,
"Income of individuals in 2015","    $20;000 to $29;999",,  125285,,   50160,,   75125,, 4489925,, 1926175,, 2563755,
"Income of individuals in 2015","    $30;000 to $39;999",,  119460,,   54365,,   65100,, 3924960,, 1870705,, 2054250,
"Income of individuals in 2015","    $40;000 to $49;999",,  103250,,   52900,,   50350,, 3144200,, 1619670,, 1524525,
"Income of individuals in 2015","    $50;000 to $59;999",,   73855,,   42315,,   31540,, 2209280,, 1245570,,  963705,
"Income of individuals in 2015","    $60;000 to $69;999",,   53925,,   32645,,   21280,, 1540300,,  912230,,  628065,
"Income of individuals in 2015","    $70;000 to $79;999",,   38615,,   23385,,   15235,, 1076180,,  654570,,  421610,
"Income of individuals in 2015","    $80;000 and over",,   76345,,   55395,,   20950,, 2204820,, 1540335,,  664485,
"Income of individuals in 2015","      $80;000 to $89;999",,   24935,,   16370,,    8560,,  688705,,  444550,,  244145,
"Income of individuals in 2015","      $90;000 to $99;999",,   16260,,   11815,,    4445,,  420975,,  291090,,  129885,
"Income of individuals in 2015","      $100;000 and over",,   35155,,   27210,,    7945,, 1095140,,  804690,,  290445,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,  857270,,  424245,,  433025,,28642980,,13990625,,14652360,
"Income of individuals in 2015","  Without employment income",,  220320,,   92270,,  128055,, 8214295,, 3442860,, 4771430,
"Income of individuals in 2015","  With employment income",,  636950,,  331980,,  304970,,20428690,,10547760,, 9880925,
"Income of individuals in 2015","  Percentage with employment income",,     74.3,,     78.3,,     70.4,,     71.3,,     75.4,,     67.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   82210,,   38805,,   43410,, 2778990,, 1357430,, 1421560,
"Income of individuals in 2015","    $5;000 to $9;999",,   46620,,   20310,,   26310,, 1602140,,  697025,,  905120,
"Income of individuals in 2015","    $10;000 to $19;999",,   77480,,   33900,,   43575,, 2736010,, 1212855,, 1523155,
"Income of individuals in 2015","    $20;000 to $29;999",,   68175,,   29285,,   38885,, 2293785,, 1022090,, 1271695,
"Income of individuals in 2015","    $30;000 to $39;999",,   66120,,   29825,,   36295,, 2149860,, 1001065,, 1148795,
"Income of individuals in 2015","    $40;000 to $49;999",,   61800,,   29930,,   31870,, 1928565,,  946625,,  981940,
"Income of individuals in 2015","    $50;000 to $59;999",,   51075,,   27565,,   23510,, 1554100,,  839045,,  715055,
"Income of individuals in 2015","    $60;000 to $69;999",,   39805,,   23605,,   16195,, 1220310,,  708270,,  512040,
"Income of individuals in 2015","    $70;000 to $79;999",,   32265,,   20015,,   12255,,  992170,,  591945,,  400225,
"Income of individuals in 2015","    $80;000 and over",,  111405,,   78745,,   32665,, 3172770,, 2171415,, 1001355,
"Income of individuals in 2015","      $80;000 to $89;999",,   28240,,   17220,,   11020,,  773755,,  475700,,  298055,
"Income of individuals in 2015","      $90;000 to $99;999",,   21415,,   13645,,    7770,,  623980,,  382330,,  241650,
"Income of individuals in 2015","      $100;000 and over",,   61750,,   47885,,   13870,, 1775030,, 1313385,,  461645,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,  432625,,,...,,...,14072080,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   75412,,,...,,...,   70336,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   65784,,,...,,...,   61348,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,  121175,,,...,,..., 3969790,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   38188,,,...,,...,   35174,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   34099,,,...,,...,   31446,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,  311450,,,...,,...,10102290,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   94530,,,...,,...,   88249,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   81696,,,...,,...,   76419,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,  432620,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   93942,,,...,,...,   92764,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   77837,,,...,,...,   76171,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,  121040,,,...,,..., 3967765,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   48880,,,...,,...,   46799,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   40555,,,...,,...,   38685,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,  311580,,,...,,...,10104315,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  111447,,,...,,...,  110813,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   92320,,,...,,...,   90890,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,  432625,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,    6930,,,...,,...,  228790,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    4575,,,...,,...,  200315,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    7675,,,...,,...,  374575,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,   18025,,,...,,...,  565940,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,   18845,,,...,,...,  602800,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,   14875,,,...,,...,  538710,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,   17700,,,...,,...,  603480,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,   17410,,,...,,...,  606600,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,   17345,,,...,,...,  596110,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,   16525,,,...,,...,  578325,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,   31595,,,...,,..., 1097345,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,   29700,,,...,,..., 1010415,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,   27605,,,...,,...,  924320,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,   25810,,,...,,...,  836765,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,   23280,,,...,,...,  745655,,,...,,...
"Income of households in 2015","  $100;000 and over",,  154720,,,...,,..., 4561920,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   48375,,,...,,..., 1470255,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,   35320,,,...,,..., 1016245,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,   40875,,,...,,..., 1116140,,,...,,...
"Income of households in 2015","    $200;000 and over",,   30160,,,...,,...,  959285,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,  432625,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,    7355,,,...,,...,  243780,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    4680,,,...,,...,  203865,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    7860,,,...,,...,  380680,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,   18625,,,...,,...,  591660,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,   20275,,,...,,...,  673740,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,   17325,,,...,,...,  628225,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,   20700,,,...,,...,  719825,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,   20990,,,...,,...,  725675,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,   20395,,,...,,...,  711180,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,   19790,,,...,,...,  691695,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,   37680,,,...,,..., 1299680,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,   35255,,,...,,..., 1169515,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,   32575,,,...,,..., 1041635,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,   28995,,,...,,...,  900055,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,   25545,,,...,,...,  757295,,,...,,...
"Income of households in 2015","  $100;000 and over",,  114570,,,...,,..., 3333575,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   47890,,,...,,..., 1371945,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,   29680,,,...,,...,  809540,,,...,,...
"Income of households in 2015","    $150;000 and over",,   36995,,,...,,..., 1152090,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,  299345,,,...,,..., 9688845,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   93747,,,...,,...,   88306,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   81065,,,...,,...,   76372,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.0,,,...,,...,      3.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,  122845,,,...,,..., 3706220,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   87865,,,...,,...,   78976,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   75765,,,...,,...,   68309,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,  124285,,,...,,..., 4222140,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  119530,,,...,,...,  113465,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,  101656,,,...,,...,   96608,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.1,,,...,,...,      4.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,   44110,,,...,,..., 1481410,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   50749,,,...,,...,   53193,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   47776,,,...,,...,   48856,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.9,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,  299455,,,...,,..., 9689855,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  111031,,,...,,...,  111235,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   91825,,,...,,...,   91040,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,  123045,,,...,,..., 3706400,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  104889,,,...,,...,  101086,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   86074,,,...,,...,   82296,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,  124275,,,...,,..., 4225855,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  135718,,,...,,...,  137094,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  111601,,,...,,...,  111307,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,   44125,,,...,,..., 1477190,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   62208,,,...,,...,   65549,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   54678,,,...,,...,   56687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,  161805,,   82400,,   79405,, 5313545,, 2608845,, 2704705,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   35875,,   40000,,   32247,,   31890,,   34483,,   29801,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   32415,,   35306,,   29777,,   28959,,   30746,,   27495,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,  161560,,   82510,,   79050,, 5299050,, 2596985,, 2702070,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   45756,,   49739,,   41598,,   42939,,   46085,,   39915,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   38229,,   40766,,   35581,,   35801,,   37724,,   33952,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42, 1070555,,  533385,,  537175,,34460065,,16971550,,17488515,
"Income of economic families in 2015","  In the bottom half of the distribution",,  506055,,  243040,,  263010,,17229835,, 8256970,, 8972865,
"Income of economic families in 2015","    In the bottom decile",,  111770,,   55530,,   56245,, 3445950,, 1672900,, 1773050,
"Income of economic families in 2015","    In the second decile",,  104900,,   46610,,   58285,, 3445660,, 1564965,, 1880700,
